Title,Link,pubDate,Description,Source,Tag
"The future of American conservation lies in restoration, not just protection - Popular Science",https://www.popsci.com/environment/biden-administration-proposes-conservation-restoration-projects/,4/27/2022,"The future of American conservation lies in restoration, not just protection&nbsp;&nbsp;Popular Science",Popular Science,Vehicles
Reducing the risk of wildlife collisions | WSDOT - WA.gov,https://wsdot.wa.gov/construction-planning/protecting-environment/reducing-risk-wildlife-collisions,11/7/2021,Reducing the risk of wildlife collisions | WSDOT&nbsp;&nbsp;WA.gov,WA.gov,Vehicles
​​Costa Rica's protected areas hit hard by budget cuts - Diálogo Chino,https://dialogochino.net/en/climate-energy/45611-%E2%80%8B%E2%80%8Bcosta-ricas-protected-areas-hit-hard-by-budget-cuts/,8/26/2021,​​Costa Rica's protected areas hit hard by budget cuts&nbsp;&nbsp;Diálogo Chino,Diálogo Chino,Vehicles
'Not just hunting and fishing': Why the Oklahoma Department of Wildlife Conservation has a new look - Oklahoman.com,https://www.oklahoman.com/story/sports/outdoors/2022/03/26/why-oklahoma-department-wildlife-conservation-has-new-look/7143970001/,3/26/2022,'Not just hunting and fishing': Why the Oklahoma Department of Wildlife Conservation has a new look&nbsp;&nbsp;Oklahoman.com,Oklahoman.com,Vehicles
Inside China's New Massive National Park System - Bloomberg,https://www.bloomberg.com/news/features/2021-12-11/inside-china-s-new-massive-national-park-system,12/11/2021,Inside China's New Massive National Park System&nbsp;&nbsp;Bloomberg,Bloomberg,Vehicles
Achieving a 'nature positive future': an interview with Cristián Samper - Mongabay.com,https://news.mongabay.com/2021/11/achieving-a-nature-positive-future-interview-with-cristian-samper/,11/3/2021,Achieving a 'nature positive future': an interview with Cristián Samper&nbsp;&nbsp;Mongabay.com,Mongabay.com,Vehicles
The Solution to Collisions Between Wildlife and Vehicles Is Simple. Funding It Isn't - 5280 - 5280 | The Denver Magazine,https://www.5280.com/2022/03/the-solution-to-collisions-between-wildlife-and-vehicles-is-simple-funding-it-isnt/,3/29/2022,The Solution to Collisions Between Wildlife and Vehicles Is Simple. Funding It Isn't - 5280&nbsp;&nbsp;5280 | The Denver Magazine,5280 | The Denver Magazine,Vehicles
Russia is employing its Uran 6 demining robots to clear paths and save lives - Interesting Engineering,https://interestingengineering.com/russia-uran-6-demining-robots,6/13/2022,Russia is employing its Uran 6 demining robots to clear paths and save lives&nbsp;&nbsp;Interesting Engineering,Interesting Engineering,Vehicles
"In Rio de Janeiro, a forest slowly returns to life, one species at a time - Mongabay.com",https://news.mongabay.com/2022/03/in-rio-de-janeiro-a-forest-slowly-returns-to-life-one-species-at-a-time/,3/21/2022,"In Rio de Janeiro, a forest slowly returns to life, one species at a time&nbsp;&nbsp;Mongabay.com",Mongabay.com,Vehicles
Greek conservationists collaborate to protect endemic species in face of climate change - Mongabay.com,https://news.mongabay.com/2022/03/greek-conservationists-collaborate-to-protect-endemic-species-in-face-of-climate-change/,3/8/2022,Greek conservationists collaborate to protect endemic species in face of climate change&nbsp;&nbsp;Mongabay.com,Mongabay.com,Vehicles
